Y,X1,X2,X3,X4
4.0,1.0,0.0,0.8989457034336086,1.7893444850435547
10.0,1.0,1.0,0.2944146122534907,3.819772445074845
2.0,1.0,0.0,-1.0949893535816044,2.388004566978943
2.0,1.0,1.0,-1.383273760996381,3.384724314768661
2.0,1.0,1.0,-0.04588603328257703,1.4109632876893037
5.0,1.0,1.0,0.08525730749006781,2.829683712447082
4.0,1.0,1.0,1.6890124752527729,2.6851147190320113
0.0,1.0,0.0,-1.414532073022452,2.9212264955478364
0.0,1.0,0.0,-0.7034201661268116,2.5981964451594237
1.0,1.0,0.0,-1.2131768909389233,3.030624552150088
4.0,1.0,0.0,-0.19799107920058037,2.177614109287925
6.0,1.0,1.0,0.7576239697565236,1.9100981214963735
2.0,1.0,0.0,-1.4837002083158275,0.9211913928089557
2.0,1.0,0.0,-0.06977967629324627,2.0738732379516525
7.0,1.0,1.0,0.0491130964667357,3.2680775778755136
6.0,1.0,0.0,0.49211486330949483,3.0101083128698454
4.0,1.0,0.0,0.5739632083162675,1.0145091037081615
0.0,1.0,0.0,-0.6219818615394294,0.9618962605461139
10.0,1.0,1.0,1.2200654472133718,2.8385707953573807
13.0,1.0,0.0,1.1124819895028752,4.175194654007813
5.0,1.0,1.0,0.8690900884965093,1.1699464846743144
3.0,1.0,1.0,-0.39087238792269957,-0.16579688904413636
0.0,1.0,1.0,-0.10473478256126384,-0.014435767413078615
8.0,1.0,0.0,0.867549870948327,2.5124018413954925
4.0,1.0,0.0,-1.3139587001467259,4.5524089452161
1.0,1.0,0.0,-0.09859288612323042,0.7718678001306709
2.0,1.0,0.0,-0.05623977995935797,1.9566907794301596
6.0,1.0,1.0,0.453741694959974,2.5600229831230212
6.0,1.0,1.0,0.09714180700699186,3.00277224966142
0.0,1.0,0.0,0.5579422385763683,0.8323830993903095
4.0,1.0,0.0,-1.506635420800605,2.444958338557371
3.0,1.0,0.0,-0.3099207905152065,-0.051648178039310766
11.0,1.0,1.0,1.511834200712516,0.2689428455645908
5.0,1.0,1.0,0.291075144315555,2.618544389454023
3.0,1.0,0.0,1.239047720630536,1.2203058670792022
1.0,1.0,1.0,0.884038118648715,-0.17550008978880793
1.0,1.0,0.0,-1.1967343298271318,2.9796408518614
5.0,1.0,0.0,0.00841063720788407,3.08112644649723
8.0,1.0,1.0,0.495672415464782,3.188658531908805
10.0,1.0,0.0,1.7652262809346393,2.3932868225758988
6.0,1.0,1.0,0.15204578463944862,2.70874933686119
2.0,1.0,1.0,-2.3900699515359443,-0.13454229660006667
3.0,1.0,0.0,-0.5057615975470663,3.5134960081284152
7.0,1.0,1.0,0.5273316224478692,1.8919492095604578
8.0,1.0,1.0,1.0655704643662007,1.6440549042301942
5.0,1.0,1.0,0.33538782292148717,2.5874799082583873
1.0,1.0,1.0,-0.11953191668938593,0.5000223764272538
6.0,1.0,1.0,0.9504675748927243,0.629697879886753
3.0,1.0,1.0,-0.5235349383210844,1.28677182390524
3.0,1.0,0.0,-0.2699248968437171,0.12164269295293173
3.0,1.0,0.0,-1.317834606606197,2.4424666223255094
0.0,1.0,0.0,0.39992910462006465,0.5987912453261397
2.0,1.0,0.0,0.4460881361671406,1.474674724128663
4.0,1.0,0.0,-1.0778212753689647,3.6263828172792083
2.0,1.0,1.0,-1.6184615867949348,1.4524039076836135
14.0,1.0,1.0,1.5148785006132672,3.093503484411827
5.0,1.0,0.0,-0.10536813904541266,2.5808335596612917
5.0,1.0,0.0,0.19020717412870836,0.9579612362284882
0.0,1.0,1.0,0.9639372694367325,1.7026910688176833
4.0,1.0,1.0,0.24138837866571822,2.880390400880888
18.0,1.0,1.0,1.2169115352577435,4.040270923302632
6.0,1.0,1.0,1.8016595770337427,1.9408583156091859
3.0,1.0,0.0,0.33018448891232505,1.0838981530386693
2.0,1.0,0.0,-0.36082921000132673,2.986886473743885
2.0,1.0,0.0,-0.025385000276187453,0.412942504011647
3.0,1.0,1.0,-2.4081610944037237,3.724130061629176
3.0,1.0,0.0,-0.48679117201954747,1.9499130048827842
